term,dataset,model,auc_score
ours,cora,GCN,0.999995199156972
ours,cora,GAT,1.0
ours,cora,GIN,1.0
ours,cora,GraphSage,0.9999735827259477
baseline,cora,GCN,0.8739044576227586
baseline,cora,GAT,0.9269360892546615
baseline,cora,GIN,0.856726544179587
baseline,cora,GraphSage,0.8644555069601897
compeff,cora,GCN,0.9999995999297476
compeff,cora,GAT,1.0
compeff,cora,GIN,1.0
compeff,cora,GraphSage,0.9999903475344809
comprobust,cora,GCN,1.0
comprobust,cora,GAT,1.0
comprobust,cora,GIN,1.0
comprobust,cora,GraphSage,1.0
ours,citeseer,GCN,0.9999790302060053
ours,citeseer,GAT,0.9999926090852819
ours,citeseer,GIN,1.0
ours,citeseer,GraphSage,1.0
baseline,citeseer,GCN,0.7114315521350035
baseline,citeseer,GAT,0.7233262811688732
baseline,citeseer,GIN,0.7667845574660354
baseline,citeseer,GraphSage,0.8215005284713965
compeff,citeseer,GCN,0.9980511197706167
compeff,citeseer,GAT,0.999953437237276
compeff,citeseer,GIN,0.99999791659784
compeff,citeseer,GraphSage,1.0
comprobust,citeseer,GCN,1.0
comprobust,citeseer,GAT,1.0
comprobust,citeseer,GIN,1.0
comprobust,citeseer,GraphSage,1.0
ours,pubmed,GCN,1.0
ours,pubmed,GAT,1.0
ours,pubmed,GIN,1.0
ours,pubmed,GraphSage,1.0
baseline,pubmed,GCN,0.9063551631561013
baseline,pubmed,GAT,1.0
baseline,pubmed,GIN,0.9319428366619747
baseline,pubmed,GraphSage,0.9017005284226659
compeff,pubmed,GCN,1.0
compeff,pubmed,GAT,0.999980762151744
compeff,pubmed,GIN,1.0
compeff,pubmed,GraphSage,1.0
comprobust,pubmed,GCN,1.0
comprobust,pubmed,GAT,1.0
comprobust,pubmed,GIN,1.0
comprobust,pubmed,GraphSage,1.0
ours,flickr,GCN,1.0
ours,flickr,GAT,1.0
ours,flickr,GIN,1.0
ours,flickr,GraphSage,1.0
baseline,flickr,GCN,1.0
baseline,flickr,GAT,0.9958310973246078
baseline,flickr,GIN,0.9982363914692585
baseline,flickr,GraphSage,0.9942329881643696
compeff,flickr,GCN,0.7741046466551597
compeff,flickr,GAT,0.7310491864612281
compeff,flickr,GIN,0.690760370871356
compeff,flickr,GraphSage,0.8182369914705238
comprobust,flickr,GCN,1.0
comprobust,flickr,GAT,1.0
comprobust,flickr,GIN,1.0
comprobust,flickr,GraphSage,1.0
